,correct,incorrect,dec_correct_inp,dec_correct_out
6816,There is also a damage to area crops of the flooding.,There is also damage to area crops from the flooding.,<start> There is also a damage to area crops of the flooding.,There is also a damage to area crops of the flooding. <end>
2551,The company grantees the minimization of costs to affective time managements.,The company grantees the minimization of costs along with effective time management.,<start> The company grantees the minimization of costs to affective time managements.,The company grantees the minimization of costs to affective time managements. <end>
9941,"There they saw something extraordinary, far exceeding what they knew.","Theyre they saw something extraordinary, far exceeding what they knew","<start> There they saw something extraordinary, far exceeding what they knew.","There they saw something extraordinary, far exceeding what they knew. <end>"
4562,B. Give your physician a âcall inâ your prescription for your pharmacist.,B. Have your physician âcall inâ your prescription to your pharmacist.,<start> B. Give your physician a âcall inâ your prescription for your pharmacist.,B. Give your physician a âcall inâ your prescription for your pharmacist. <end>
1075,"Snapchat will pay Stanford students like these almost , to join!","Snapchat will pay Stanford students like these almost , to join.","<start> Snapchat will pay Stanford students like these almost , to join!","Snapchat will pay Stanford students like these almost , to join! <end>"
4951,Want to see more of the websites the Freelancers audience attend?,Want to see more of the websites the Freelancers audience visits?,<start> Want to see more of the websites the Freelancers audience attend?,Want to see more of the websites the Freelancers audience attend? <end>
2788,Sterling silver ohm necklace send email,Sterling Silver Ohm Necklace send email.,<start> Sterling silver ohm necklace send email,Sterling silver ohm necklace send email <end>
8878,Ok lets try this again.. continues NOTLDT?,Ok lets try this again.. Continue NOTLDT?,<start> Ok lets try this again.. continues NOTLDT?,Ok lets try this again.. continues NOTLDT? <end>
3353,That will be the entire budget for Davis.,That is the entire budget for Davis.,<start> That will be the entire budget for Davis.,That will be the entire budget for Davis. <end>
7434,how and what we discount for the different kinds of risk.,and how we put discount rates on the different kinds of risk.,<start> how and what we discount for the different kinds of risk.,how and what we discount for the different kinds of risk. <end>
9506,How can I get my curvier hips?,How can I get curvier hips?,<start> How can I get my curvier hips?,How can I get my curvier hips? <end>
7195,Decoration Tip The Divert Table Skirt!,Decorating Tip The Custom Table Skirt!,<start> Decoration Tip The Divert Table Skirt!,Decoration Tip The Divert Table Skirt! <end>
9155,with materials to bend and subducting such a lubrication.,and bending and subducting requires lubrication.,<start> with materials to bend and subducting such a lubrication.,with materials to bend and subducting such a lubrication. <end>
2329,"Also, insert rant here about exceptions or profiteering on our childhood etc.","Also, insert rant about unoriginality, profiteering on our childhood, etc.etc. here.","<start> Also, insert rant here about exceptions or profiteering on our childhood etc.","Also, insert rant here about exceptions or profiteering on our childhood etc. <end>"
2286,"The face by Julie, Sarah ,and Denise is supported.","Administrative support is provided by Denise, Sarah and Julie.","<start> The face by Julie, Sarah ,and Denise is supported.","The face by Julie, Sarah ,and Denise is supported. <end>"
1964,How do I setup my FaderPort with 'Reaper?,How do I setup my FaderPort with Reaper?,<start> How do I setup my FaderPort with 'Reaper?,How do I setup my FaderPort with 'Reaper? <end>
8444,Describeprocess of screening.,Describe the process of screening.,<start> Describeprocess of screening.,Describeprocess of screening. <end>
7910,government are expecting billion or at Beijing Olympics.,government is expecting billion orBeijing Olympics.,<start> government are expecting billion or at Beijing Olympics.,government are expecting billion or at Beijing Olympics. <end>
6790,But let us go deeper with WS ..,But let us go deeper with WS.,<start> But let us go deeper with WS ..,But let us go deeper with WS .. <end>
3118,"Lee, Alice In Barkham, Berkshire, England ped .","Lee, Alice Barkham, Berkshire, England ped .","<start> Lee, Alice In Barkham, Berkshire, England ped .","Lee, Alice In Barkham, Berkshire, England ped . <end>"
8510,Please click HERE I to register for grade students.,Please click HERE to register for th th grade.,<start> Please click HERE I to register for grade students.,Please click HERE I to register for grade students. <end>
646,Welcome!! That is one of gorgeous pup!!!,Welcome!! That is one gorgeous pup!!!,<start> Welcome!! That is one of gorgeous pup!!!,Welcome!! That is one of gorgeous pup!!! <end>
7991,Previous Post State does of Denial by Bob Woodward.,Previous Post State of Denial by Bob Woodward.,<start> Previous Post State does of Denial by Bob Woodward.,Previous Post State does of Denial by Bob Woodward. <end>
9043,Why the demand for personalization,Why the demand for personalization?,<start> Why the demand for personalization,Why the demand for personalization <end>
9039,Many years has to storyboard artist,Many years experience as storyboard artist.,<start> Many years has to storyboard artist,Many years has to storyboard artist <end>
6192,It is avaiable to to people at the same time,It is available to to people at the same time.,<start> It is avaiable to to people at the same time,It is avaiable to to people at the same time <end>
9145,"Remember, voting on Designes is set to start on Juy th.","Remember, voting on designs is set to start on July th.","<start> Remember, voting on Designes is set to start on Juy th.","Remember, voting on Designes is set to start on Juy th. <end>"
3061,Also on the ground floor has a utility room and WC.,Also on the ground floor is a utility room and WC.,<start> Also on the ground floor has a utility room and WC.,Also on the ground floor has a utility room and WC. <end>
4154,Brew is tastier beers with an accentuation yet and fresh malt aroma.,Brew even tastier beers with an accentuated and fresh malt aroma.,<start> Brew is tastier beers with an accentuation yet and fresh malt aroma.,Brew is tastier beers with an accentuation yet and fresh malt aroma. <end>
6984,Copyright Â© DLG Research All Rights Reservered.,Copyright Â© DLG Research All Rights Reserved.,<start> Copyright Â© DLG Research All Rights Reservered.,Copyright Â© DLG Research All Rights Reservered. <end>
2543,Name of your child ornamently or other children of family was made.,Ornaments that your child or other children in the family have made.,<start> Name of your child ornamently or other children of family was made.,Name of your child ornamently or other children of family was made. <end>
7956,And donât forget Thereâs always a wine.,And donât forget Thereâs always wine.,<start> And donât forget Thereâs always a wine.,And donât forget Thereâs always a wine. <end>
2031,See Sysrematic review registration number PROSPRERO CRD.,Systematic review registration number PROSPERO CRD.,<start> See Sysrematic review registration number PROSPRERO CRD.,See Sysrematic review registration number PROSPRERO CRD. <end>
1466,Siee Effects an undesirable effect of a drug.,"Side effects the undesired, effects of a drug.",<start> Siee Effects an undesirable effect of a drug.,Siee Effects an undesirable effect of a drug. <end>
7232,Assign a delegate too schedule your telemedicine appointment on your behave.,Assign a delegate to schedule your telemedicine appointments on your behalf.,<start> Assign a delegate too schedule your telemedicine appointment on your behave.,Assign a delegate too schedule your telemedicine appointment on your behave. <end>
